HKT,sym,tag,true breakout
11/8/2020 08:03,robonomics-network,UNI,
11/8/2020 08:03,YFI,BNB,
11/8/2020 08:03,SRM,BNB,
11/8/2020 08:03,AAVE,BNB,
11/9/2020 00:04,robonomics-network,UNI,
11/9/2020 00:04,AAVE,BNB,
11/9/2020 16:04,DNT,BNB,
11/9/2020 16:04,CVC,BNB,
11/6/2020 08:07,yflink,UNI,
11/6/2020 08:07,CVC,BNB,
11/6/2020 08:07,DNT,BNB,
11/10/2020 00:05,CVC,BNB,
11/10/2020 00:05,DNT,BNB,
11/10/2020 08:04,CVC,BNB,
11/10/2020 08:04,DNT,BNB,
11/10/2020 08:04,hegic,UNI,
11/10/2020 16:04,CVC,BNB,
11/10/2020 16:04,AXS,BNB,x
11/10/2020 16:04,PERL,BNB,
11/11/2020 00:04,decentraland,UNI,
11/11/2020 00:04,CVC,BNB,
11/11/2020 00:04,small-love-potion,UNI,
11/11/2020 08:04,PERL,BNB,
11/11/2020 08:04,OGN,BNB,
11/12/2020 08:04,UMA,BNB,
11/15/2020 0:04:00,celsius-degree-token,UNI,
11/15/2020 8:05:00,AXS,BNB,
11/15/2020 16:04:00,zlot,UNI,x
11/15/2020 16:04:00,swerve-dao,UNI,x
11/16/2020 0:03:00,stacktical,UNI,
11/16/2020 0:03:00,swerve-dao,UNI,
11/16/2020 0:03:00,zlot,UNI,
11/16/2020 0:03:00,AXS,BNB,
11/16/2020 0:03:00,BZRX,UNI,
11/16/2020 0:03:00,rook,UNI,x
11/16/2020 8:04:00,rook,UNI,
11/16/2020 16:04:00,rook,UNI,
11/16/2020 16:04:00,SRM,BNB,
11/18/2020 16:03:00,rook,UNI,
11/19/2020 0:03:00,YFI,BNB,
11/19/2020 0:03:00,rook,UNI,
11/19/2020 8:03:00,LINK,BNB,
11/19/2020 16:03:00,AXN,UNI,
11/21/2020 0:03:00,stacktical,UNI,
11/21/2020 16:03:00,NMR,BNB,
11/21/2020 16:03:00,keep3rv1,UNI,
11/21/2020 16:03:00,yflink,UNI,
11/21/2020 16:03:00,xdai-stake,UNI,
11/22/2020 0:04:00,pickle-finance,UNI,
11/23/2020 0:03:00,NMR,BNB,
