time,open,close,high,low,volume,vwap
2020.10.01 00:00:00.000000000,10779.63,10786.25,10829.99,10779.63,401.4653871,10804.9090939
2020.10.01 01:00:00.000000000,10786.25,10840.58,10847,10786.25,360.833079,10818.4441826
2020.10.01 02:00:00.000000000,10840.58,10820,10857.22,10811.36,265.301709,10829.9191054
2020.10.01 03:00:00.000000000,10820,10801.53,10829.94,10797.99,166.2562788,10807.4150998
2020.10.01 04:00:00.000000000,10801.03,10806.01,10830.7,10799,117.3228516,10811.2778749
2020.10.01 05:00:00.000000000,10806.01,10823.65,10831.8,10798.9,192.6500557,10813.0677546
2020.10.01 06:00:00.000000000,10823.65,10823.35,10850,10817.99,187.7446187,10832.3006689
2020.10.01 07:00:00.000000000,10823.17,10828.54,10848.6,10807.86,241.4200969,10828.6327075
2020.10.01 08:00:00.000000000,10828.54,10878.07,10931.98,10815.6,650.9085421,10879.2538574
2020.10.01 09:00:00.000000000,10878.08,10901.23,10906.01,10878.08,227.9367262,10889.517853
2020.10.01 10:00:00.000000000,10901.23,10872.4,10916.34,10854.87,152.4133157,10872.8496408
2020.10.01 11:00:00.000000000,10871.06,10908.27,10908.83,10857.06,171.9845087,10881.5090444
2020.10.01 12:00:00.000000000,10906.69,10889.61,10913.06,10864.45,235.4482951,10886.3676802
2020.10.01 13:00:00.000000000,10889.68,10863.99,10900,10851.76,377.3420334,10878.6639615
2020.10.01 14:00:00.000000000,10864.22,10862.11,10869.83,10836.01,382.7011645,10853.5196596
2020.10.01 15:00:00.000000000,10862.12,10754.79,10891.83,10724.74,810.0051737,10808.4770027
2020.10.01 16:00:00.000000000,10649.76,10509.58,10682.04,10485.83,1001.661312,10567.0735611
2020.10.01 17:00:00.000000000,10509.57,10472.97,10525,10460,700.5496242,10491.748952
2020.10.01 18:00:00.000000000,10471.93,10584.87,10592,10460,532.6476454,10541.9368636
2020.10.01 19:00:00.000000000,10586.43,10615.01,10641.83,10562.29,807.690765,10596.9080676
2020.10.01 20:00:00.000000000,10614.79,10606.77,10617.4,10562.84,631.2723121,10581.5571513
2020.10.01 21:00:00.000000000,10606.76,10581.9,10625.34,10580.36,382.9742556,10606.8478816
2020.10.01 22:00:00.000000000,10583.52,10603.94,10635.1,10575,344.7628597,10615.0702103
2020.10.01 23:00:00.000000000,10603.8,10617.31,10619.98,10590.18,227.5997112,10602.2483506
2020.10.02 00:00:00.000000000,10616.35,10593.16,10616.35,10583.47,245.1065062,10598.1244735
2020.10.02 01:00:00.000000000,10592.54,10590.84,10619.89,10586.39,180.3702218,10603.1005115
2020.10.02 02:00:00.000000000,10590.84,10599.62,10616.66,10585.59,269.045583,10600.4139993
2020.10.02 03:00:00.000000000,10599.61,10647,10657.56,10597.15,247.9576539,10624.5303358
